end (Year end),host (Host state ISO3),filed (Year filed),execme_end,execme_filed,v2pariglef_filed,v2pariglef_filed_dummy,v2pariglef_end_dummy,winner,state_lose,settled,v2pariglef_filed_ref,direct,v2pariglef_end,v2pariglef_end_ref1,v2pariglef_end_ref2,caseno (Case no.),parties (Parties to arbitration),direct2,execrlc,execrlc_dummy2,execrlc_dummy,execrlc_count,home (Home state ISO3),partisan,execnat,home2 (Home state2 ISO3),home3 (Home state3 ISO3),home4 (Home state4 ISO3),home5 (Home state5 ISO3),venue (Venue or rules adopted),legal (Legal doc. invoked),invsttype (Text on investment type),sector (Sector 3-letter code),asought_text (Text on award sought),"asought_usm (Award sought in US$m, exchange rate at time of filing, less interest/costs)",concluded (Arbitration concluded),ainvst_text (Text on award to investor),"ainvst_usm (Award to investor in US$m, not including costs/interest)",annul (Annulment filed),annul_filed (Year annulment filed),annul_end (Year annulment ends),annulstatus (Status of annulment)
2001,ARG,1998,ATJE,PJ,3.591,0,NA,unknown,NA,NA,,NA,NA,,coalition: UCR-FREPASO,ARB/98/1,"Houston Industries Energy Inc., et al v. Argentine Republic",NA,2,1,NA,1,USA,,0,n.a.,n.a.,n.a.,n.a.,ICSID,United States-Argentina BIT,Electric power concession,UTL,US$1.1m for tariff compensation and US$1.5m for increased fuel costs,2.6,yes,unknown,unknown,no,n.a.,n.a.,n.a.
2013,CMR,2011,RDPC,RDPC,3.6,0,0,unknown,NA,NA,,0,3.645,,,CONC/11/1,RSM Production Corporation v. Republic of Cameroon,1,0,NA,NA,NA,USA,,0,n.a.,n.a.,n.a.,n.a.,ICSID CR,Contract with host state,Oil and gas,OIL,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2014,EGY,2011,FJP,NDP,4.25,0,1,unknown,NA,NA,,NA,1.865,,1.865 (2011),ARB/11/16,"Hussain Sajwani, Damac Park Avenue for Real Estate Development S.A.E., and Damac Gamsha Bay for Development S.A.E. v. Arab Republic of Egypt",NA,0,NA,NA,NA,ARE,,1,n.a.,n.a.,n.a.,n.a.,ICSID,Egypt-United Arab Emirates BIT,Tourism,SER,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2010,MEX,2002,PAN,PAN,4.727,0,0,unknown,NA,NA,,NA,4.534,,4.523 (2009),n.a.,Calmark Commercial Development Inc. v. the United Mexican States,NA,1,0,0,0,USA,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,NAFTA,Real estate,RE,US$400000 plus interest,0.4,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
unknown,CZE,2006,NA,CSSD,1.571,1,NA,unknown,NA,NA,,NA,NA,,,n.a.,Czechoslonor v. Czech Republic,NA,n.a.,NA,NA,NA,NOR,n.a.,NA,n.a.,n.a.,n.a.,n.a.,UNCITRAL,Czech Republic-Norway BIT,Agricultural enterprise (fishing),AGR,CZK240m / ?_8.5m,10.3,unknown,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.
unknown,ETH,1999,NA,TPLF,2.5,1,NA,unknown,NA,NA,2.5 (2000),NA,NA,,,10623/AER/ACS,"Salini Costruttori SPA v. Federal Democratic Republic of Ethiopia, Addis Ababa Water and Sewerage Authority",NA,n.a.,NA,NA,NA,ITA,,NA,n.a.,n.a.,n.a.,n.a.,ICC,Contract with host state,Construction (dam and transmission lines),UTL,"US$26700000, plus interest and costs",26.7,yes,unknown,unknown,n.a.,n.a.,n.a.,n.a.
unknown,POL,1998,NA,SRP,1.714,1,NA,unknown,NA,NA,1.714 (1996),NA,NA,,,n.a.,Lutz Ingo Schaper v. Poland,NA,n.a.,NA,NA,NA,DEU,,NA,n.a.,n.a.,n.a.,n.a.,UNCITRAL,Germany-Poland BIT,Waste paper enterprise,MFG,DM5m,3,yes,unknown,unknown,n.a.,n.a.,n.a.,n.a.
unknown,PRT,2002,NA,PS,2.2,1,NA,unknown,NA,NA,,NA,NA,,,n.a.,German investor v. Portugal,NA,n.a.,NA,NA,NA,DEU,,NA,n.a.,n.a.,n.a.,n.a.,UNCITRAL,Germany-Portugal BIT,unknown,unknown,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2012,ZAR,2010,independent,independent,NA,NA,NA,unknown,NA,NA,,NA,NA,,,ARB/10/21,"International Quantum Resources Limited, Frontier SPRL and Compagnie Mini??re de Sakania SPRL v. Democratic Republic of the Congo",NA,0,NA,NA,NA,VGB,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Congo (Democratic Republic of) Domestic Investment Law,Mining,MIN,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
2004,ARG,2004,PJ,PJ,2.545,1,1,unclear,NA,NA,,NA,2.582,,,n.a.,United Utilities International Limited (UUIL) v Argentine Republic,NA,3,1,1,2,GBR,,1,n.a.,n.a.,n.a.,n.a.,UNCITRAL,Argentina-United Kingdom BIT,Electric power concession,UTL,US$100m,100,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
1999,ALB,1994,PSS,PDS,4.04,0,1,state,0,0,,0,1.806,,,ARB/94/2,Tradex Hellas SA v. Republic of Albania,1,3,1,1,2,GRC,,0,n.a.,n.a.,n.a.,n.a.,ICSID,"Albania-Greece BIT, Albania Investment Law (1993)",Agricultural enterprise,AGR,US$3107074 plus interest and costs,3.1,yes,0,0,no,n.a.,n.a.,n.a.
2015,ALB,2011,PSS,PDS,4.04,0,1,state,0,0,,0,2.439,,,ARB/11/24,Mamidoil Jetoil Greek Petroleum Products Societe Anonyme S.A. v. Republic of Albania,1,3,1,1,2,GRC,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Greece-Albania BIT,Oil and gas,OIL,US$23m,23,yes,0,0,yes,2015,pending,pending
2007,ALB,2007,PDS,PDS,4.04,0,0,state,0,0,,0,4.04,,,ARB/07/21,Pantechniki SA Contractors & Engineers v. Republic of Albania,1,1,0,0,0,GRC,,0,n.a.,n.a.,n.a.,n.a.,ICSID,"Albania-Greece BIT, Albania Investment Law (1993)",Highway and bridge construction project,UTL,At least US$1.8m,1.8,yes,0,0,no,n.a.,n.a.,n.a.
2013,ALB,2011,PDS,PDS,4.04,0,0,state,0,0,,0,4.04,,,ARB/11/18,Burimi SRL and Eagle Games SH.A v. Republic of Albania,1,1,0,0,0,ITA,,0,n.a.,n.a.,n.a.,n.a.,ICSID,"Albania-Italy BIT, Albania Investment Law (1993)",Gaming,SER,"Albanian Lek 1,034,794,456 plus interest",10.2,yes,0,0,no,n.a.,n.a.,n.a.
2013,ALB,2011,PDS,PDS,4.04,0,0,state,0,0,,NA,4.04,,,n.a.,"Sky Petroleum, Inc. v. Ministry of Economy, Trade, and Energy of Albania et al",NA,1,0,0,0,USA,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,Albania-US BIT,Oil and gas,OIL,Approximately US$1b,1000,yes,0,0,n.a.,n.a.,n.a.,n.a.
2009,AZE,2006,YAP,YAP,3.7,0,0,state,0,0,,0,3.616,3.63,,ARB/06/15,"Azpetrol International Holdings BV, Azpetrol Group BV & Azpetrol Oil Services Group BV v. Republic of Azerbaijan",1,0,NA,NA,NA,NLD,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Energy Charter Treaty,Oil and gas,OIL,unknown,unknown,yes,0,0,no,n.a.,n.a.,n.a.
2010,BGD,2006,AL,BNP,4.286,0,1,state,0,0,,0,2.964,,,ARB/06/10,"Chevron Block Twelve, Chevron Blocks Thirteen & Fourteen v. People??s Republic of Bangladesh",1,0,NA,NA,NA,USA,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Contract with host state,Oil and gas,OIL,Approximately US$240m,240,yes,0,0,no,n.a.,n.a.,n.a.
1994,BGD,1992,BNP,BNP,4.5,0,0,state,0,0,,NA,4.247,,,ARB/92/2,"Scimitar Exploration Limited v. Bangladesh and Bangladesh Oil, Gas and Mineral Corporation",NA,0,NA,NA,NA,GBR,,1,n.a.,n.a.,n.a.,n.a.,ICSID,UK-Bangladesh BIT,Oil and gas (exploration),OIL,US$25000000,25,yes,0,0,no,n.a.,n.a.,n.a.
2008,BGR,2003,BSP,NMSII,3.25,0,NA,state,0,0,NDSV,0,NA,,NA,ARB/03/24,Plama Consortium Limited v. Republic of Bulgaria,1,0,NA,NA,NA,CYP,,0,FIN,n.a.,n.a.,n.a.,ICSID,"Bulgaria-Cyprus BIT, Bulgaria-Finland BIT, Energy Charter Treaty",Oil and gas,OIL,US$300m,300,yes,0,0,no,n.a.,n.a.,n.a.
2007,CAN,2000,CPC,LPC,3.333,0,0,state,0,0,,0,4.181,,,n.a.,United Parcel Service of America Inc. v. Canada,1,1,0,0,0,USA,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,NAFTA,Postal services,SER,Not less than US$160m,160,yes,0,0,n.a.,n.a.,n.a.,n.a.
2010,CAN,2009,CPC,CPC,4.667,0,0,state,0,0,,0,4.181,,,(PCA Case No. 2009-21),Centurion Health Corporation et al v. Canada,1,1,0,0,0,USA,,0,n.a.,n.a.,n.a.,n.a.,PCA,NAFTA,Health (operating medical center),SER,US$160m,160,yes,0,0,n.a.,n.a.,n.a.,n.a.
2011,CAN,2007,CPC,CPC,4.667,0,0,state,0,0,,0,4.181,,,55798,Vito G. Gallo v. Canada,1,1,0,0,0,USA,,0,n.a.,n.a.,n.a.,n.a.,PCA,NAFTA,Waste management,SER,US$355100000 plus costs,355.1,yes,0,0,n.a.,n.a.,n.a.,n.a.
2015,CAN,2011,CPC,CPC,4.667,0,0,state,0,0,,0,4.181,,,2012-25,Detroit International Bridge Company v. Canada,1,1,0,0,0,USA,,0,n.a.,n.a.,n.a.,n.a.,PCA,NAFTA,"Bridge (build, operate, maintain, collect tolls)",UTL,US$3.5b,3500,yes,0,0,no,n.a.,n.a.,n.a.
2010,CRI,2007,PLN,PLN,4.083,0,0,state,0,0,,0,3.232,,,ARB(AF)/07/3,Alasdair Ross Anderson and others v. Republic of Costa Rica,1,3,1,1,2,CAN,,0,n.a.,n.a.,n.a.,n.a.,ICSID AF,Canada-Costa Rica BIT,Finance (private equity),FIN,unknown,unknown,yes,0,0,no,n.a.,n.a.,n.a.
2013,CZE,2009,ODS,ODS,4.606,0,0,state,0,0,,0,4.229,,,5/1/2010,ECE Projektmanagement v. The Czech Republic,1,0,NA,NA,NA,DEU,,0,n.a.,n.a.,n.a.,n.a.,PCA,Czech Republic-Germany BIT,Real estate (commercial),RE,?_70289m,80.8,yes,0,0,n.a.,n.a.,n.a.,n.a.
2011,CZE,2009,independent,ODS,4.606,0,NA,state,0,0,,0,NA,,,n.a.,Peter Franz Vocklinghaus v. Czech Republic,1,0,NA,NA,NA,DEU,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,Germany-Czech Republic BIT,Tourism (golf course and resort),SER,CZK1b,52,yes,0,0,n.a.,n.a.,n.a.,n.a.
2010,CZE,2009,independent,ODS,4.606,0,NA,state,0,0,,NA,NA,,,n.a.,Georg Nepolsky v. Czech Republic,NA,0,NA,NA,NA,DEU,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,Czech Republic-Germany BIT,Water services concession,UTL,Czech Koruna 1.24b,64.3,yes,0,0,n.a.,n.a.,n.a.,n.a.
2012,CZE,2008,independent,ODS,4.642,0,NA,state,0,0,,0,NA,,,n.a.,InterTrade v Czech Republic,1,0,NA,NA,NA,DEU,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,Czech Republic-Germany BIT,Agricultural enterprise (forestry),AGR,Approximately ?_150m,210.9,yes,0,0,n.a.,n.a.,n.a.,n.a.
2012,CZE,2008,independent,ODS,4.642,0,NA,state,0,0,,NA,NA,,,NN 452/FM,Konsortium Oeconomismus v. Czech Republic,NA,0,NA,NA,NA,CHE,,0,n.a.,n.a.,n.a.,n.a.,ICC,Czech Republic-Switzerland BIT,Waste management,SER,CZK8024742.85,0.4,yes,0,0,no,n.a.,n.a.,n.a.
2010,CZE,2007,independent,ODS,4.678,0,NA,state,0,0,,0,NA,,,n.a.,Frontier Petroleum Services (FPS) v Czech Republic,1,0,NA,NA,NA,CAN,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,Canada-Czech Republic BIT,Manufacturing (aviation),MFG,US$20m,20,yes,0,0,n.a.,n.a.,n.a.,n.a.
2009,CZE,2007,ODS,ODS,4.678,0,0,state,0,0,,1,4.263,4.229,,n.a.,Invesmart v. Czech Republic,0,0,NA,NA,NA,NLD,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,Czech Republic-Netherlands BIT,Banking,FIN,unknown,unknown,yes,0,0,n.a.,n.a.,n.a.,n.a.
2012,EGY,2009,FJP,NDP,4.25,0,1,state,0,0,,0,1.865,,1.865 (2011),ARB/09/15,"H&H Enterprises Investments, Inc. v. Arab Republic of Egypt",1,0,NA,NA,NA,USA,,1,n.a.,n.a.,n.a.,n.a.,ICSID,United States-Egypt BIT,Tourism (resort),SER,unknown,unknown,yes,0,0,yes,2014,pending,pending
2014,EGY,2011,FJP,NDP,4.25,0,1,state,0,0,,0,1.865,,1.865 (2011),ARB/11/7,National Gas S.A.E. v. Arab Republic of Egypt,1,0,NA,NA,NA,EGY,,1,n.a.,n.a.,n.a.,n.a.,ICSID,Egypt-United Arab Emirates BIT,Oil and gas (distribution),OIL,unknown,unknown,yes,0,0,no,n.a.,n.a.,n.a.
2004,EGY,2003,NDP,NDP,4.25,0,0,state,0,0,,0,4.19,,,ARB/03/11,Joy Mining Machinery Limited v. Arab Republic of Egypt,1,0,NA,NA,NA,GBR,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Egypt-United Kingdom BIT,Mining (phosphate),MIN,"UK??2.5m, plus interest and the full value of the bank guarantees if not released",4.5,yes,0,0,yes,2005,2005,discontinued
2006,EGY,2002,NDP,NDP,4.25,0,0,state,0,0,,0,4.19,,,ARB/02/9,"Champion Trading Company and Ameritrade International, Inc. v. Arab Republic of Egypt",1,0,NA,NA,NA,USA,,0,n.a.,n.a.,n.a.,n.a.,ICSID,US-Egypt BIT,Agricultural enterprise (cotton),AGR,US$365m plus interest and costs,365,yes,0,0,no,n.a.,n.a.,n.a.
2008,EGY,2004,NDP,NDP,4.25,0,0,state,0,0,,0,4.19,,,ARB/04/13,Jan de Nul NV & Dredging International NV v. Arab Republic of Egypt,1,0,NA,NA,NA,BELLUX,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Belgium & Luxembourg-Egypt BIT,Dredging operations,SER,Approximately US$70m,70,yes,0,0,no,n.a.,n.a.,n.a.
