filed (Year filed),end (Year end),host (Host state ISO3),caseno (Case no.),parties (Parties to arbitration),direct,execrlc,execrlc_dummy,execrlc_count,home (Home state ISO3),winner,settled,partisan,execnat,home2 (Home state2 ISO3),home3 (Home state3 ISO3),home4 (Home state4 ISO3),home5 (Home state5 ISO3),venue (Venue or rules adopted),legal (Legal doc. invoked),invsttype (Text on investment type),sector (Sector 3-letter code),asought_text (Text on award sought),"asought_usm (Award sought in US$m, exchange rate at time of filing, less interest/costs)",concluded (Arbitration concluded),ainvst_text (Text on award to investor),"ainvst_usm (Award to investor in US$m, not including costs/interest)",annul (Annulment filed),annul_filed (Year annulment filed),annul_end (Year annulment ends),annulstatus (Status of annulment)
1987,1990,LKA,ARB/87/3,Asian Agricultural Products Ltd. (AAPL) v. Republic of Sri Lanka,0,2,NA,1,GBR,investor,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Sri Lanka-United Kingdom BIT,Agricultural enterprise (fishing),AGR,US$8m,8,yes,0.46m,0.46,no,n.a.,n.a.,n.a.
1992,1994,BGD,ARB/92/2,"Scimitar Exploration Limited v. Bangladesh and Bangladesh Oil, Gas and Mineral Corporation",NA,0,NA,NA,GBR,state,0,,1,n.a.,n.a.,n.a.,n.a.,ICSID,UK-Bangladesh BIT,Oil and gas (exploration),OIL,US$25000000,25,yes,0,0,no,n.a.,n.a.,n.a.
1992,1994,GHA,ARB/92/1,Vacuum Salt Products Ltd. v. Republic of Ghana,0,3,1,2,GRC,state,0,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Contract with host state,Mining (salt),MIN,"unknown (""damages, lost profits, and interest"")",unknown,yes,0,0,no,n.a.,n.a.,n.a.
1994,1995,POL,n.a.,Saar Papier v. Poland (1st case),0,0,NA,NA,DEU,investor,0,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,Germany-Poland BIT,Waste paper enterprise,MFG,unknown,unknown,yes,DM2.3m plus interest; Respondent to pay cost of arbitration,1.4,n.a.,n.a.,n.a.,n.a.
1994,1996,MDG,CONC/94/1,SEDITEX Engineering Beratungsgesellschaft fur dieTextilindustrie m.b.H. v. Madagascar,NA,0,NA,NA,DEU,settlement,1,,0,n.a.,n.a.,n.a.,n.a.,ICSID CR,Contract with host state,Textile enterprise,MFG,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
1994,1996,MYS,ARB/94/1,Philippe Gruslin v. Malaysia,NA,0,NA,NA,BELLUX,settlement,1,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Belgium & Luxembourg-Malaysia BIT,Finance (securities),FIN,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
1996,1996,POL,n.a.,France Telecom v. Poland,NA,3,1,2,FRA,settlement,1,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,France-Poland BIT,Telecommunications (mobile),TEL,Approximately US$500m,500,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
1996,1996,POL,n.a.,Ameritech v. Poland,NA,3,1,2,USA,settlement,1,,0,n.a.,n.a.,n.a.,n.a.,UNCITRAL,Poland-United States BIT,Telecommunications (mobile),TEL,Approximately US$500m,500,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
1995,1997,ALB,ARB/95/1,Leaf Tobacco A. Michaelides SA and Greek-Albanian Leaf Tobacco & Co. SA v. Republic of Albania,NA,1,0,0,GRC,settlement,1,,0,n.a.,n.a.,n.a.,n.a.,ICSID,Albania-Greece BIT,"Manufacturing (cigarettes, tobacco)",MFG,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
1995,1997,KNA,ARB/95/2,"Cable Television of Nevis, Ltd. and Cable Television of Nevis Holdings, Ltd. v. Federation of St. Kitts and Nevis",0,n.a.,NA,NA,USA,state,0,,NA,n.a.,n.a.,n.a.,n.a.,ICSID,Contract with host state,Broadcasting enterprise (television),TEL,unknown,unknown,yes,0,0,no,n.a.,n.a.,n.a.
1997,1997,COG,ARB/97/2,Societe Kufpec (Congo) Limited v. Republic of Congo,0,3,1,2,GBR,settlement,1,,0,KWT,n.a.,n.a.,n.a.,ICSID,other (as coded by ICSID),Oil and gas,OIL,unknown,unknown,yes,settlement,settlement,n.a.,n.a.,n.a.,n.a.
